review,sentiment
Philips 190G6,0
"Med integrerte høyttalere som på ingen måte er diskret plassert , og med en stor subwoofer inkludert , da snakker vi om en gutteskjerm .",0
Eller bedrar skinnet ?,1
"De fleste skjermer har et diskret design , med smale rammer og slank fot .",0
Men 190G6 fra Philips er en helt annen historie .,0
"Den har et utseende som krever oppmerksomhet , med glinsende svart ramme , glansbelegg på skjermflaten og store sølvfargede sidepaneler med fire innfelte høyttalere med svart deksel .",0
LES OGSÅ :,0
"Foten har en stor og blank søyle , og det er store knapper og blå lys .",0
"Baksiden er sort , blank og skinnende , med et deksel som skjuler kontakter og kabler .",0
De fire høyttalerbrønnene stikker tydelig ut - her er det ikke snakk om å gjemme noe .,0
"Skjermen er helt klart visuelt utfordrende , noen vil synes den er overharry , andre vil bli begeistret .",1
Likegyldig er det uansett vanskelig å være .,0
God betjening,0
"Uansett hva man måtte mene om utseendet , så er knappene plassert på en utmerket måte , og hele oppsettet gir god kontroll - langt mer behagelig i bruk enn de vanlige tryknappene som vi finner på de aller fleste skjermer .",1
"I midten finner vi volumknappen , som roterer fritt .",0
"Nivået leser du av på skjermen , det dukker opp en skala så snart du skrur på knappen .",0
"Til venstre finner vi en inngangsvelger , som bestemmer om skjermen skal vise sginal fra VGA , DVI , Scart , S-video , coaks eller komponentinngangene , som alle er plassert på baksiden av skjermen , under det sorte dekselet .",0
En mer allsidig og tilkoblingsvennlig skjerm har vi knapt sett .,0
Til høyre finner vi forhåndsinnstillinger for lyden .,0
"På hver side av foten er det tilkoblinger for henholdsvis USB og hodetelefon / mikrofon , og på baksiden er det tilkoblinger for USB til lyddelen , strøm og utsignal til subwooferen .",0
"Skjermen kan bare vippes , ikke heves / senkes eller dreies .",1
Bildekvalitet,0
Vi ble positivt overrasket over bildekvaliteten .,0
Spesielt fargedynamikken var klart over gjennomsnittet .,0
"Det er flere faste fargeprofiler med forskjellige temperaturer å velge mellom , i tillegg til manuell innstilling .",0
"Justeringsområdet er stort , så det er svært gode tilpasningsmuligheter til forskjellige omgivelser .",0
